event_name,event_type,day_of_week,start_time,location,promotion_channel,expected_audience,actual_attendance,budget,feedback_score,feedback_text
Annual AI Workshop,Networking,Wednesday,12PM,Student Center,Multiple,50,75,5810,2.6,"Turnout was disappointing, hard to stay engaged"
Regional Innovation Symposium,Seminar,Wednesday,12PM,University Center,Instagram,499,576,9795,3.1,Good organization and networking
Campus Design Forum,Seminar,Monday,6PM,Engineering Hall,Instagram,387,327,8287,2.8,Felt underprepared for the number of attendees
Open Cloud Computing Showcase,Seminar,Friday,4PM,Engineering Hall,Multiple,436,512,3795,3.3,Average event could improve timing
Regional Entrepreneurship Summit,Hackathon,Wednesday,4PM,Student Center,LinkedIn,111,132,4561,4.3,Amazing event and very informative
Applied Data Science Meetup,Social Event,Friday,12PM,Student Center,Instagram,53,47,1663,3.4,Average event could improve timing
Collaborative Career Forum,Workshop,Monday,2PM,University Center,Multiple,171,254,5062,3.1,Average event could improve timing
Global AI Summit,Networking,Saturday,6PM,Student Center,LinkedIn,174,203,8249,3.5,Interesting but promotion was weak
Applied Networking Summit,Hackathon,Thursday,2PM,Online,LinkedIn,289,330,1387,2.8,Felt underprepared for the number of attendees
Collaborative Robotics Symposium,Workshop,Thursday,2PM,University Center,Instagram,148,176,3616,2.6,Felt underprepared for the number of attendees
Annual Networking Forum,Networking,Wednesday,4PM,Engineering Hall,Email,276,354,9516,2.6,Too crowded and poorly managed
Global Cloud Computing Summit,Seminar,Monday,10AM,Engineering Hall,Instagram,258,184,8456,2.3,"Turnout was disappointing, hard to stay engaged"
Advanced Innovation Showcase,Networking,Thursday,10AM,Online,Flyers,451,395,7954,3.1,Interesting but promotion was weak
Modern Innovation Forum,Seminar,Friday,4PM,Engineering Hall,Instagram,201,190,4066,3.4,Good organization and networking
Interactive Robotics Summit,Workshop,Saturday,2PM,University Center,Email,349,374,8311,3.1,Average event could improve timing
Regional Research Meetup,Social Event,Monday,12PM,University Center,Multiple,84,95,4353,2.9,"Turnout was disappointing, hard to stay engaged"
Emerging Design Meetup,Social Event,Friday,10AM,Student Center,Email,264,287,9760,2.5,Felt underprepared for the number of attendees
Applied Design Symposium,Hackathon,Saturday,2PM,Engineering Hall,Flyers,252,143,2644,2.9,Felt underprepared for the number of attendees
Interactive Career Forum,Research Talk,Monday,10AM,Online,Multiple,338,271,2138,3.3,Good organization and networking
Collaborative Product Showcase,Research Talk,Tuesday,2PM,University Center,Instagram,239,199,5169,2.5,Too crowded and poorly managed
Open AI Summit,Research Talk,Friday,6PM,University Center,Multiple,203,276,2197,2.7,Too crowded and poorly managed
Emerging Career Showcase,Hackathon,Friday,12PM,Library,Flyers,359,294,3950,2.8,Felt underprepared for the number of attendees
Applied Cloud Computing Night,Hackathon,Wednesday,6PM,Online,Flyers,483,623,1332,3.8,Good organization and networking
Community Cybersecurity Forum,Research Talk,Monday,10AM,Library,Instagram,376,197,4791,2.5,Too crowded and poorly managed
Annual Entrepreneurship Forum,Hackathon,Thursday,6PM,University Center,Email,88,136,2942,2.9,Felt underprepared for the number of attendees
Emerging Career Showcase,Social Event,Tuesday,4PM,Engineering Hall,Email,207,186,6474,2.9,Too crowded and poorly managed
Community Robotics Meetup,Networking,Saturday,10AM,Library,Multiple,497,350,7158,2.1,Felt underprepared for the number of attendees
Applied Innovation Night,Seminar,Tuesday,12PM,Online,Email,141,136,5942,3.5,Interesting but promotion was weak
Global Career Night,Networking,Wednesday,12PM,University Center,LinkedIn,496,532,1134,2.9,"Turnout was disappointing, hard to stay engaged"
Emerging Design Night,Career Fair,Wednesday,2PM,Engineering Hall,Instagram,62,77,3664,2.6,"Turnout was disappointing, hard to stay engaged"
Annual AI Workshop,Workshop,Wednesday,2PM,Student Center,LinkedIn,397,446,9285,3.1,Interesting but promotion was weak
Community Entrepreneurship Symposium,Networking,Friday,2PM,University Center,Email,355,333,7619,2.8,"Turnout was disappointing, hard to stay engaged"
Community Cloud Computing Summit,Social Event,Friday,10AM,Online,Multiple,147,221,4673,3.2,Good organization and networking
Emerging Networking Night,Social Event,Friday,12PM,Library,LinkedIn,85,84,5909,3.5,Average event could improve timing
Advanced Innovation Workshop,Workshop,Saturday,2PM,Student Center,Flyers,391,320,7191,3.4,Interesting but promotion was weak
Modern Design Symposium,Social Event,Tuesday,12PM,Online,LinkedIn,396,474,3351,3.3,Average event could improve timing
Collaborative Cybersecurity Showcase,Social Event,Monday,2PM,Library,Instagram,270,201,5779,2.6,"Turnout was disappointing, hard to stay engaged"
Applied Research Workshop,Networking,Friday,4PM,Engineering Hall,Email,195,208,8945,3.0,Average event could improve timing
Global Cybersecurity Forum,Workshop,Tuesday,2PM,Engineering Hall,Instagram,125,117,900,1.9,Too crowded and poorly managed
Advanced Career Meetup,Seminar,Monday,4PM,Online,Multiple,149,182,6791,3.3,Interesting but promotion was weak
Interactive Cybersecurity Summit,Hackathon,Saturday,10AM,University Center,LinkedIn,162,114,3381,2.8,Felt underprepared for the number of attendees
Interactive Product Forum,Social Event,Tuesday,10AM,Online,Instagram,460,473,8112,3.0,Average event could improve timing
Campus Innovation Night,Research Talk,Thursday,6PM,Student Center,LinkedIn,475,591,9476,2.8,"Turnout was disappointing, hard to stay engaged"
Applied Career Workshop,Career Fair,Thursday,2PM,Engineering Hall,Flyers,442,584,9040,3.7,Interesting but promotion was weak
Regional Robotics Meetup,Career Fair,Monday,2PM,Engineering Hall,Flyers,221,202,5738,3.0,Average event could improve timing
Interactive Cybersecurity Symposium,Networking,Thursday,12PM,Engineering Hall,Email,262,282,7178,2.5,"Turnout was disappointing, hard to stay engaged"
Advanced Cybersecurity Summit,Workshop,Tuesday,4PM,Online,Multiple,406,564,820,3.1,Average event could improve timing
Global Cybersecurity Meetup,Research Talk,Wednesday,4PM,Online,Multiple,432,685,9447,2.8,Felt underprepared for the number of attendees
Campus Cybersecurity Meetup,Research Talk,Thursday,4PM,University Center,LinkedIn,222,212,7124,3.2,Average event could improve timing
Applied Cloud Computing Meetup,Social Event,Friday,10AM,Online,Multiple,338,368,944,3.0,Good organization and networking
Collaborative Entrepreneurship Workshop,Seminar,Thursday,12PM,University Center,Flyers,244,194,5863,2.9,Too crowded and poorly managed
Annual Innovation Forum,Seminar,Thursday,2PM,Online,Flyers,477,359,1841,2.7,"Turnout was disappointing, hard to stay engaged"
Global Data Science Forum,Workshop,Wednesday,12PM,University Center,Email,436,488,1008,2.8,Too crowded and poorly managed
Community Design Night,Networking,Tuesday,12PM,Online,Email,338,374,4071,3.5,Interesting but promotion was weak
Regional Research Summit,Research Talk,Tuesday,6PM,Student Center,Email,448,359,3183,3.4,Interesting but promotion was weak
Community Design Night,Research Talk,Friday,4PM,Online,Instagram,88,91,4478,3.7,Good organization and networking
Applied Entrepreneurship Summit,Hackathon,Friday,10AM,Student Center,Email,227,214,9228,2.8,"Turnout was disappointing, hard to stay engaged"
Advanced Entrepreneurship Showcase,Social Event,Saturday,2PM,University Center,LinkedIn,471,403,8531,3.3,Good organization and networking
Open Research Night,Seminar,Thursday,12PM,Online,Instagram,425,505,9048,3.9,Average event could improve timing
Regional Design Symposium,Social Event,Thursday,4PM,Online,Multiple,187,325,5780,3.3,Good organization and networking
Emerging Robotics Symposium,Networking,Thursday,6PM,Student Center,LinkedIn,222,259,970,3.4,Interesting but promotion was weak
Annual Product Meetup,Networking,Wednesday,2PM,Library,Flyers,500,304,5026,2.0,Felt underprepared for the number of attendees
Collaborative Networking Showcase,Workshop,Tuesday,4PM,Online,Multiple,438,773,4437,3.2,Average event could improve timing
Global Design Showcase,Career Fair,Thursday,10AM,University Center,Flyers,163,157,7125,3.0,Average event could improve timing
Interactive Entrepreneurship Workshop,Social Event,Wednesday,4PM,Student Center,Multiple,226,359,7471,2.9,Felt underprepared for the number of attendees
Global Entrepreneurship Summit,Hackathon,Thursday,2PM,Library,Flyers,168,142,2476,3.1,Average event could improve timing
Community Research Night,Hackathon,Friday,12PM,Engineering Hall,Instagram,428,594,8433,3.7,Interesting but promotion was weak
Campus Design Summit,Social Event,Friday,2PM,University Center,Instagram,201,196,4227,4.1,Loved the speakers and content
Community Robotics Showcase,Hackathon,Friday,12PM,Library,Email,77,74,9566,2.5,"Turnout was disappointing, hard to stay engaged"
Collaborative Entrepreneurship Meetup,Seminar,Thursday,10AM,University Center,Multiple,195,242,8190,3.7,Interesting but promotion was weak
Modern Networking Showcase,Workshop,Wednesday,4PM,University Center,Email,255,384,8556,3.3,Good organization and networking
Interactive Cloud Computing Forum,Workshop,Tuesday,12PM,Student Center,Flyers,93,68,4566,3.2,Good organization and networking
Modern Cloud Computing Workshop,Social Event,Friday,12PM,Student Center,LinkedIn,280,281,7753,3.2,Interesting but promotion was weak
Global Design Showcase,Social Event,Friday,10AM,Student Center,Email,440,312,3904,3.0,Average event could improve timing
Advanced Cybersecurity Showcase,Workshop,Tuesday,12PM,Engineering Hall,Multiple,88,96,3064,3.2,Good organization and networking
Collaborative AI Showcase,Social Event,Thursday,2PM,University Center,Instagram,197,265,5132,2.6,Felt underprepared for the number of attendees
Applied Robotics Workshop,Networking,Wednesday,6PM,Engineering Hall,LinkedIn,108,145,9422,3.4,Good organization and networking
Community Research Workshop,Seminar,Tuesday,10AM,University Center,Instagram,455,321,5539,2.3,Felt underprepared for the number of attendees
Collaborative Cybersecurity Summit,Career Fair,Monday,4PM,Library,LinkedIn,189,189,8699,3.4,Average event could improve timing
Global Networking Night,Social Event,Monday,4PM,Library,Multiple,178,190,923,3.6,Good organization and networking
Collaborative Product Showcase,Seminar,Friday,6PM,University Center,Flyers,345,278,1159,2.5,Too crowded and poorly managed
Collaborative Entrepreneurship Symposium,Career Fair,Wednesday,12PM,Student Center,LinkedIn,375,506,8556,3.2,Good organization and networking
Applied Cloud Computing Night,Research Talk,Wednesday,10AM,Engineering Hall,Flyers,260,147,8617,2.8,"Turnout was disappointing, hard to stay engaged"
Regional Cloud Computing Night,Seminar,Friday,10AM,Online,Email,211,180,4635,2.8,"Turnout was disappointing, hard to stay engaged"
Emerging Research Night,Social Event,Monday,6PM,Online,LinkedIn,77,99,3573,4.3,Very engaging and useful session
Open Cybersecurity Showcase,Career Fair,Saturday,4PM,University Center,Instagram,186,248,9498,3.2,Good organization and networking
Interactive Data Science Forum,Career Fair,Monday,10AM,Student Center,Instagram,413,333,3094,2.4,"Turnout was disappointing, hard to stay engaged"
Community Design Forum,Career Fair,Monday,12PM,University Center,LinkedIn,110,100,3022,3.4,Interesting but promotion was weak
Campus Cloud Computing Meetup,Hackathon,Wednesday,4PM,Online,LinkedIn,174,292,7983,2.9,Felt underprepared for the number of attendees
Interactive Design Night,Social Event,Friday,12PM,University Center,Flyers,445,484,7298,3.4,Interesting but promotion was weak
Collaborative Product Symposium,Workshop,Wednesday,2PM,Student Center,Multiple,387,715,8522,2.7,Too crowded and poorly managed
Community Career Forum,Research Talk,Wednesday,6PM,Student Center,LinkedIn,283,276,5772,3.4,Good organization and networking
Advanced Cloud Computing Showcase,Career Fair,Tuesday,4PM,University Center,Flyers,431,543,8249,2.8,Felt underprepared for the number of attendees
Emerging AI Night,Seminar,Saturday,12PM,Online,Email,114,107,8729,2.8,Felt underprepared for the number of attendees
Applied Robotics Summit,Seminar,Thursday,10AM,Student Center,LinkedIn,57,50,2861,3.2,Interesting but promotion was weak
Applied Product Symposium,Career Fair,Wednesday,2PM,Student Center,LinkedIn,382,364,1815,3.7,Interesting but promotion was weak
Applied Networking Workshop,Research Talk,Saturday,4PM,Student Center,Email,366,240,1621,3.0,Good organization and networking
Campus Innovation Workshop,Networking,Saturday,10AM,Online,Email,439,337,2146,2.8,"Turnout was disappointing, hard to stay engaged"
Campus Career Forum,Workshop,Monday,2PM,University Center,Flyers,233,205,6641,2.5,"Turnout was disappointing, hard to stay engaged"
Applied Career Symposium,Career Fair,Friday,12PM,Engineering Hall,Instagram,90,107,6767,3.7,Average event could improve timing
Annual Cybersecurity Workshop,Social Event,Tuesday,12PM,Online,Flyers,285,286,4683,3.2,Average event could improve timing
Advanced Innovation Workshop,Hackathon,Friday,12PM,University Center,LinkedIn,226,310,5401,3.2,Average event could improve timing
Modern Entrepreneurship Forum,Career Fair,Wednesday,12PM,Online,LinkedIn,104,150,4386,3.7,Interesting but promotion was weak
Applied Innovation Summit,Research Talk,Saturday,2PM,University Center,LinkedIn,190,115,632,2.5,Felt underprepared for the number of attendees
Applied Career Forum,Social Event,Saturday,4PM,Library,Instagram,360,320,6272,3.0,Good organization and networking
Modern Entrepreneurship Showcase,Research Talk,Saturday,12PM,University Center,Email,208,150,7722,2.8,Too crowded and poorly managed
Interactive Entrepreneurship Forum,Networking,Monday,2PM,Library,LinkedIn,139,89,3789,2.6,Too crowded and poorly managed
Emerging AI Symposium,Social Event,Wednesday,12PM,Library,LinkedIn,462,368,5335,2.5,Felt underprepared for the number of attendees
Annual Design Forum,Workshop,Tuesday,12PM,Online,Multiple,237,343,1979,2.4,"Turnout was disappointing, hard to stay engaged"
Applied Career Symposium,Workshop,Thursday,2PM,Library,Multiple,245,360,6586,3.2,Good organization and networking
Collaborative Innovation Workshop,Workshop,Friday,6PM,Library,Multiple,163,181,1535,2.8,Felt underprepared for the number of attendees
Regional AI Meetup,Hackathon,Thursday,10AM,Engineering Hall,Email,69,74,5486,3.0,Interesting but promotion was weak
Modern Innovation Showcase,Social Event,Tuesday,4PM,Online,Flyers,393,470,9350,3.4,Interesting but promotion was weak
Community Entrepreneurship Meetup,Networking,Thursday,10AM,Online,Multiple,258,336,5083,2.6,Too crowded and poorly managed
Applied Entrepreneurship Summit,Career Fair,Thursday,12PM,Library,Email,401,428,6518,4.1,Very engaging and useful session
Applied Research Summit,Career Fair,Wednesday,12PM,University Center,LinkedIn,96,129,3975,3.9,Average event could improve timing
Global Research Meetup,Workshop,Wednesday,12PM,Engineering Hall,Multiple,155,219,1624,3.1,Average event could improve timing
Campus Product Workshop,Seminar,Tuesday,2PM,Engineering Hall,Multiple,51,47,5042,3.2,Good organization and networking
Modern Entrepreneurship Summit,Seminar,Tuesday,10AM,University Center,Instagram,57,49,6369,2.7,Too crowded and poorly managed
Regional Cybersecurity Symposium,Networking,Wednesday,10AM,Engineering Hall,LinkedIn,319,208,2362,1.9,Felt underprepared for the number of attendees
Modern Data Science Showcase,Seminar,Wednesday,6PM,Student Center,Email,281,283,8754,2.8,Too crowded and poorly managed
Collaborative Cloud Computing Symposium,Seminar,Saturday,6PM,Library,LinkedIn,379,212,1010,3.1,Good organization and networking
Campus AI Meetup,Hackathon,Monday,4PM,Online,Email,91,104,5777,3.3,Average event could improve timing
Collaborative Product Forum,Research Talk,Friday,6PM,Student Center,Flyers,245,226,9192,2.3,"Turnout was disappointing, hard to stay engaged"
Advanced Entrepreneurship Night,Career Fair,Monday,10AM,Student Center,Instagram,270,290,7898,3.3,Good organization and networking
Open Entrepreneurship Meetup,Career Fair,Thursday,4PM,University Center,Flyers,268,362,5620,3.8,Average event could improve timing
Community Innovation Workshop,Hackathon,Thursday,10AM,University Center,Email,97,119,7575,2.9,Too crowded and poorly managed
Applied AI Symposium,Seminar,Tuesday,6PM,University Center,Multiple,337,558,9702,2.5,"Turnout was disappointing, hard to stay engaged"
Regional Research Forum,Research Talk,Saturday,4PM,University Center,Flyers,357,190,5619,2.3,"Turnout was disappointing, hard to stay engaged"
Regional Design Forum,Networking,Tuesday,4PM,Engineering Hall,Email,229,211,9613,3.7,Interesting but promotion was weak
Modern Networking Night,Networking,Thursday,6PM,Student Center,Multiple,395,804,9621,2.3,Too crowded and poorly managed
Emerging Data Science Meetup,Hackathon,Wednesday,10AM,Engineering Hall,Flyers,409,320,5562,2.7,"Turnout was disappointing, hard to stay engaged"
Community Product Meetup,Seminar,Tuesday,6PM,Online,Email,122,114,1002,3.6,Good organization and networking
Emerging Research Forum,Career Fair,Thursday,4PM,Library,Instagram,239,277,5605,3.7,Average event could improve timing
Collaborative Networking Symposium,Workshop,Monday,12PM,Engineering Hall,Multiple,75,81,1836,3.2,Interesting but promotion was weak
Emerging Cloud Computing Summit,Career Fair,Friday,4PM,Online,Flyers,160,239,8894,4.0,Amazing event and very informative
Global Cloud Computing Forum,Research Talk,Saturday,6PM,Online,Multiple,391,508,5553,3.1,Good organization and networking
Open Entrepreneurship Summit,Workshop,Monday,12PM,Library,Instagram,442,364,2748,2.9,"Turnout was disappointing, hard to stay engaged"
Global Product Forum,Workshop,Thursday,4PM,Engineering Hall,Instagram,244,418,9225,2.2,Felt underprepared for the number of attendees
Annual Cybersecurity Summit,Seminar,Saturday,2PM,University Center,LinkedIn,491,323,1193,3.1,Interesting but promotion was weak
Regional Cloud Computing Summit,Seminar,Wednesday,6PM,Online,Multiple,257,450,7343,3.2,Interesting but promotion was weak
Global Cloud Computing Forum,Research Talk,Tuesday,6PM,Online,Flyers,95,83,7655,2.9,Too crowded and poorly managed
Emerging Robotics Summit,Career Fair,Friday,10AM,Online,Flyers,431,484,6062,3.0,Good organization and networking
Community Networking Night,Social Event,Saturday,10AM,Student Center,Multiple,149,141,6224,3.1,Interesting but promotion was weak
Campus Networking Summit,Networking,Tuesday,10AM,Engineering Hall,Flyers,151,95,3342,2.3,Felt underprepared for the number of attendees
Applied Research Showcase,Networking,Saturday,4PM,Online,Multiple,439,717,9994,2.8,"Turnout was disappointing, hard to stay engaged"
Collaborative Networking Workshop,Hackathon,Friday,2PM,Library,Instagram,275,247,1618,3.1,Interesting but promotion was weak
Collaborative Cybersecurity Summit,Seminar,Wednesday,6PM,University Center,Flyers,309,279,1715,3.2,Interesting but promotion was weak
Collaborative Research Forum,Workshop,Wednesday,2PM,University Center,Email,364,433,8807,3.4,Interesting but promotion was weak
Modern Cybersecurity Forum,Seminar,Saturday,10AM,Online,Multiple,383,374,3584,2.8,"Turnout was disappointing, hard to stay engaged"
Applied Robotics Summit,Networking,Monday,4PM,University Center,Flyers,415,341,1881,2.1,Felt underprepared for the number of attendees
Emerging Design Symposium,Networking,Saturday,4PM,Online,Multiple,317,434,3100,2.6,"Turnout was disappointing, hard to stay engaged"
Interactive Networking Symposium,Career Fair,Wednesday,6PM,University Center,Flyers,83,104,5901,3.8,Good organization and networking
Open Networking Showcase,Research Talk,Wednesday,6PM,Engineering Hall,Flyers,91,70,2817,2.6,"Turnout was disappointing, hard to stay engaged"
Applied Entrepreneurship Night,Hackathon,Thursday,12PM,Student Center,Email,208,279,9657,3.1,Interesting but promotion was weak
Emerging Design Meetup,Networking,Saturday,6PM,University Center,LinkedIn,310,353,6428,3.5,Good organization and networking
Open AI Forum,Networking,Wednesday,4PM,Engineering Hall,Instagram,120,116,3038,3.0,Good organization and networking
Advanced Robotics Meetup,Seminar,Friday,6PM,University Center,Flyers,498,343,2647,3.0,Average event could improve timing
Applied Innovation Meetup,Networking,Saturday,6PM,Engineering Hall,LinkedIn,72,77,7231,3.0,Interesting but promotion was weak
Collaborative Career Workshop,Career Fair,Friday,2PM,Online,Instagram,323,501,4418,2.8,"Turnout was disappointing, hard to stay engaged"
Interactive Cloud Computing Meetup,Hackathon,Friday,4PM,Online,Flyers,448,617,6756,3.9,Average event could improve timing
Interactive AI Showcase,Seminar,Tuesday,6PM,Engineering Hall,Flyers,76,61,8373,3.2,Interesting but promotion was weak
Collaborative Product Meetup,Seminar,Friday,10AM,Library,Email,440,235,3126,2.9,"Turnout was disappointing, hard to stay engaged"
Annual Cloud Computing Forum,Seminar,Thursday,10AM,Engineering Hall,LinkedIn,228,170,936,2.2,"Turnout was disappointing, hard to stay engaged"
Regional Innovation Showcase,Research Talk,Tuesday,4PM,University Center,Flyers,164,109,961,2.3,"Turnout was disappointing, hard to stay engaged"
Campus Innovation Symposium,Research Talk,Tuesday,12PM,University Center,Flyers,474,346,8240,2.7,Felt underprepared for the number of attendees
Interactive Innovation Forum,Career Fair,Friday,10AM,University Center,Email,181,182,4033,3.0,Good organization and networking
Global Cloud Computing Showcase,Social Event,Thursday,10AM,Library,Instagram,204,149,2496,3.0,Good organization and networking
Interactive Data Science Showcase,Seminar,Friday,4PM,University Center,Email,478,452,8689,3.3,Average event could improve timing
Emerging Career Forum,Social Event,Friday,12PM,Engineering Hall,Flyers,269,165,525,3.1,Average event could improve timing
Interactive Product Forum,Career Fair,Tuesday,10AM,Student Center,Flyers,84,64,9118,2.6,Felt underprepared for the number of attendees
Annual Entrepreneurship Night,Workshop,Thursday,4PM,University Center,LinkedIn,241,369,4655,3.1,Average event could improve timing
Annual Entrepreneurship Forum,Workshop,Wednesday,12PM,University Center,Multiple,426,760,5947,3.4,Good organization and networking
Regional Innovation Night,Research Talk,Saturday,12PM,Online,LinkedIn,373,312,3486,2.7,Too crowded and poorly managed
Emerging Design Forum,Career Fair,Monday,2PM,Engineering Hall,Email,455,480,3768,2.9,Too crowded and poorly managed
Emerging Data Science Night,Career Fair,Friday,4PM,Library,Email,435,390,3631,3.5,Interesting but promotion was weak
Collaborative Cloud Computing Workshop,Hackathon,Wednesday,2PM,University Center,Flyers,273,311,7053,2.4,Felt underprepared for the number of attendees
Advanced AI Symposium,Networking,Thursday,4PM,Library,Multiple,186,258,1853,3.7,Average event could improve timing
Applied Design Workshop,Social Event,Tuesday,6PM,Library,Flyers,102,64,1811,2.4,"Turnout was disappointing, hard to stay engaged"
Community Entrepreneurship Forum,Career Fair,Friday,4PM,Engineering Hall,LinkedIn,229,296,7825,3.2,Good organization and networking
Applied Robotics Summit,Career Fair,Wednesday,10AM,University Center,LinkedIn,236,254,8906,3.6,Average event could improve timing
Emerging Entrepreneurship Symposium,Networking,Friday,4PM,University Center,Instagram,84,97,4366,3.5,Average event could improve timing
Regional Research Meetup,Social Event,Monday,6PM,Engineering Hall,LinkedIn,239,289,6595,2.6,"Turnout was disappointing, hard to stay engaged"
Community Robotics Symposium,Social Event,Wednesday,4PM,Library,Flyers,177,144,2358,2.5,Too crowded and poorly managed
Collaborative Career Forum,Social Event,Thursday,6PM,University Center,Flyers,446,494,4764,3.2,Average event could improve timing
Campus Innovation Symposium,Research Talk,Saturday,4PM,Engineering Hall,Email,119,82,1713,3.0,Interesting but promotion was weak
Open Robotics Showcase,Workshop,Saturday,2PM,Library,Email,331,235,9382,2.9,"Turnout was disappointing, hard to stay engaged"
Campus Career Night,Hackathon,Saturday,12PM,Library,Multiple,164,166,2488,3.1,Good organization and networking
Campus Research Summit,Career Fair,Monday,2PM,Student Center,Multiple,238,369,8157,2.9,Felt underprepared for the number of attendees
Regional Robotics Workshop,Workshop,Wednesday,4PM,Online,Multiple,260,546,7208,3.5,Average event could improve timing
Applied Research Meetup,Hackathon,Monday,4PM,Online,Multiple,226,362,2602,3.0,Average event could improve timing
Campus Design Meetup,Seminar,Tuesday,4PM,Student Center,Email,475,390,2534,3.2,Average event could improve timing
Global Networking Forum,Networking,Wednesday,12PM,Library,Multiple,195,192,1792,3.0,Interesting but promotion was weak
Campus Research Forum,Research Talk,Tuesday,2PM,Student Center,Multiple,97,100,8734,2.6,Felt underprepared for the number of attendees
Annual AI Summit,Networking,Tuesday,6PM,Student Center,Flyers,481,497,9734,2.4,Too crowded and poorly managed
Applied Product Workshop,Hackathon,Friday,2PM,Engineering Hall,Multiple,263,351,996,3.3,Interesting but promotion was weak
Community Data Science Meetup,Hackathon,Wednesday,4PM,Engineering Hall,LinkedIn,202,280,7930,3.4,Good organization and networking
Community Entrepreneurship Showcase,Career Fair,Thursday,4PM,Online,Instagram,224,371,2853,3.6,Interesting but promotion was weak
Emerging Career Symposium,Seminar,Wednesday,4PM,Engineering Hall,Flyers,313,301,9702,3.0,Good organization and networking
Advanced Research Symposium,Workshop,Wednesday,4PM,Engineering Hall,Instagram,99,117,1329,3.1,Interesting but promotion was weak
Interactive Cybersecurity Symposium,Networking,Tuesday,2PM,Student Center,Flyers,147,114,3110,2.9,"Turnout was disappointing, hard to stay engaged"
Global Research Workshop,Research Talk,Thursday,10AM,University Center,LinkedIn,308,265,7991,2.5,Too crowded and poorly managed
Interactive Data Science Night,Workshop,Monday,2PM,Online,Multiple,481,860,8210,3.0,Interesting but promotion was weak
Annual Cloud Computing Summit,Workshop,Thursday,12PM,Library,Flyers,441,409,7106,3.1,Interesting but promotion was weak
Interactive Cybersecurity Night,Social Event,Friday,12PM,Library,Multiple,197,203,1704,3.1,Interesting but promotion was weak
Emerging Entrepreneurship Forum,Social Event,Wednesday,6PM,Student Center,Email,115,148,2084,3.1,Interesting but promotion was weak
Annual Data Science Meetup,Research Talk,Tuesday,12PM,Student Center,Multiple,255,317,8693,3.8,Good organization and networking
Emerging Research Workshop,Hackathon,Wednesday,4PM,Student Center,LinkedIn,126,204,8946,3.1,Good organization and networking
Interactive Cybersecurity Showcase,Networking,Thursday,6PM,Library,Multiple,222,412,8811,2.7,Felt underprepared for the number of attendees
Modern Design Night,Social Event,Wednesday,4PM,University Center,Flyers,219,178,2295,2.2,"Turnout was disappointing, hard to stay engaged"
Global Innovation Summit,Hackathon,Saturday,10AM,Student Center,LinkedIn,185,192,9977,2.6,Felt underprepared for the number of attendees
Applied Career Summit,Social Event,Thursday,12PM,Student Center,Multiple,446,802,6729,3.1,Good organization and networking
Campus Cloud Computing Showcase,Social Event,Saturday,10AM,Engineering Hall,Email,275,197,5639,2.3,"Turnout was disappointing, hard to stay engaged"
Campus Product Meetup,Networking,Thursday,6PM,Student Center,LinkedIn,496,619,1520,3.1,Average event could improve timing
Interactive Entrepreneurship Forum,Social Event,Wednesday,4PM,Student Center,LinkedIn,210,230,3337,3.2,Interesting but promotion was weak
Interactive Design Meetup,Research Talk,Saturday,2PM,Student Center,LinkedIn,148,102,4538,3.3,Interesting but promotion was weak
Community Design Workshop,Research Talk,Wednesday,12PM,Online,Flyers,295,250,6214,3.3,Average event could improve timing
Open Data Science Workshop,Workshop,Friday,6PM,Online,LinkedIn,469,692,6154,3.1,Good organization and networking
